author,total_comments,n_channels,avg_comments_per_channel,category_entropy,num_unique_categories,cat_Gaming,cat_Entertainment,cat_Music,cat_People & Blogs,cat_Howto & Style,cat_Comedy,cat_Film and Animation,cat_Education,cat_Science & Technology,cat_Sports,mean_log_subs,std_log_subs,mean_join_year,std_join_year,mean_delta_videos,mean_activity,mean_delta_subs,mean_delta_views
10001302,86.0,61.0,1.4098360655737705,1.7894226828583004,11.0,0.011627906976744186,0.19767441860465115,0.011627906976744186,0.27906976744186046,0.29069767441860467,0.06976744186046512,0.023255813953488372,0.011627906976744186,0.0,0.011627906976744186,13.373951447008048,1.7869655511151286,2011.8139534883724,4.123946976165664,6.411432979746528,14.067999740547286,12404.06121583188,3494736.060893465
10001303,18.0,9.0,2.0,1.276257364236179,4.0,0.3333333333333333,0.16666666666666666,0.3888888888888889,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,14.049108590304515,1.5215722618285417,2007.8333333333333,2.1293404868857655,2.4600783786267657,5.447960553605714,2150.58003015624,1720445.4957182526
10001304,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.861555758858254,0.0,2011.0,0.0,2.9615384615384617,6.365384615384615,13199.941391941393,10202279.304143773
10001305,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.184400648021263,0.0,2014.0,0.0,0.0,0.0,0.2967538759689923,1019614.9838039867
10001306,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.801192546169812,0.0,2006.0,0.0,12.464516129032258,27.690322580645162,70193.30334101382,65263628.7593654
10001307,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.154784614286667,0.0,2018.0,0.0,5.609756097560975,12.560975609756097,2474.163898292595,187353.0174216028
10001308,2.0,1.0,2.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.212289513133925,0.0,2011.0,0.0,34.05806451612903,77.7483870967742,22596.801728110597,12675061.489996158
10001309,9.0,6.0,1.5,1.2148896539491205,4.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,11.435881219491254,1.7509999259245723,2010.555555555555,4.214819792393612,1.270539185441388,2.777590470036667,1681.5117172642742,265478.2498009253
10001310,2.0,2.0,1.0,0.6931471805599453,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,13.45515141068367,1.8389963595242922,2008.0,2.8284271247461903,3.166666666666667,6.586538461538462,2518.3202576503354,2617361.2578005763
10001313,21.0,12.0,1.75,0.9099250471537521,3.0,0.5714285714285714,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,14.577591027703996,1.591213308148069,2009.3809523809525,1.7511900715418263,8.044716288732412,17.669116692632812,8703.167406509123,3365973.03886114
10001314,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.322328762742183,0.0,2010.0,0.0,1.9548387096774194,4.2,4361.35,2923876.3207517276
10001315,3.0,1.0,3.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.321215875492413,0.0,2012.0,0.0,13.696774193548388,30.580645161290324,2298.660714285714,782493.9165706604
10001316,6.0,5.0,1.2,1.0114042647073516,3.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,14.94669147585217,1.5566905683448105,2011.1666666666667,2.884688643758382,147.04609870416326,324.77191894127384,37317.11049396393,34291231.9281068
10001317,15.0,10.0,1.5,1.020036958401841,4.0,0.0,0.26666666666666666,0.6,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,14.812916381019706,1.4522387890749309,2010.8,2.4562844569254056,1.4102505097121907,3.1335099106313407,14784.342218962976,3117239.220125431
10001318,38.0,27.0,1.4074074074074074,1.6655252657542903,8.0,0.02631578947368421,0.39473684210526316,0.10526315789473684,0.0,0.0,0.05263157894736842,0.02631578947368421,0.0,0.15789473684210525,0.02631578947368421,14.506401042706896,1.9785267832413014,2009.605263157895,3.19385899721914,19.97860459702966,43.54289727623888,77263.63131261572,53775284.825720266
10001319,1.0,1.0,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.006131744018864,0.0,2010.0,0.0,1.8193548387096774,4.0,7705.0741935483875,1032512.4059571812
10001320,10.0,6.0,1.6666666666666667,1.0888999753452235,4.0,0.0,0.2,0.1,0.1,0.6,0.0,0.0,0.0,0.0,0.0,13.321613694349097,1.7958283213145858,2010.8999999999999,2.1679483388678804,4.020593529104316,8.938628436014149,7768.795664383154,5485984.17046297
10001321,1.0,1.0,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.648723960844016,0.0,2013.0,0.0,6.574193548387097,14.709677419354838,86127.17004608296,25075039.91802515
10001322,1.0,1.0,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.154784614286667,0.0,2016.0,0.0,0.15853658536585366,0.38414634146341464,1126.420867813589,908554.0348023737
10001324,5.0,5.0,1.0,0.6730116670092565,2.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.986509631525555,1.855471165222775,2012.0,3.0000000000000004,2.4021343988800097,5.239127340605496,5157.467608783816,5475049.607265685
10001325,10.0,6.0,1.6666666666666667,1.1682824501765625,4.0,0.0,0.5,0.1,0.3,0.0,0.0,0.0,0.0,0.1,0.0,13.469771768157308,0.7796309850078987,2016.4000000000003,2.5419556372089707,2.0598005430242274,4.422060760876552,12367.37187176728,795004.4882802478
10001327,4.0,3.0,1.3333333333333333,0.5623351446188083,2.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.667760962737123,1.8870425660278514,2008.75,2.588435821108957,1.0467741935483872,2.2870967741935484,10283.471799395162,2825737.246426171
10001330,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.535379989788607,0.0,2014.0,0.0,1.25,2.7435897435897436,719.843502445695,99230.30746336996
10001331,2.0,2.0,1.0,0.6931471805599453,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.92613672225372,4.2792751292254625,2012.5,2.1213203435596424,3.4299450549450547,7.646062271062271,10285.763415750916,1934531.5317446692
10001332,8.0,8.0,1.0,1.6674619334292946,6.0,0.0,0.125,0.375,0.125,0.0,0.125,0.125,0.0,0.0,0.0,15.494340354339931,1.4685292653793027,2009.875,2.9970223317724636,1.0922508929841477,2.404344275681855,30161.65869052993,18720892.809350453
10001333,3.0,1.0,3.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.436868997949528,0.0,2006.0,0.0,0.01935483870967742,0.03870967741935484,491.5683624317389,254858.6710685484
10001335,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.801192546169812,0.0,2006.0,0.0,12.464516129032258,27.690322580645162,70193.30334101382,65263628.7593654
10001336,6.0,6.0,1.0,1.329661348854758,4.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,12.527924523588178,1.8696068109148574,2013.8333333333333,3.3714487489307423,2.604150122074953,5.793369984241252,13705.306237122528,1212128.0461414072
10001337,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.226133010744878,0.0,2012.0,0.0,0.07741935483870968,0.15483870967741936,1785.4317218375272,2174077.9478302607
10001338,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.35452622069408,0.0,2011.0,0.0,9.237179487179487,20.91025641025641,18807.485576923078,6929803.160351801
