author,total_comments
1006045,406
10141806,405
10082641,404
10007776,404
1013033,404
10032760,404
10096654,404
1000003,403
1010537,403
10101630,403
10085270,403
10087013,403
1009490,403
10036595,403
10139629,399
10122257,399
10047852,398
10092829,398
10035740,397
10060162,397
10100784,397
10003329,396
10097376,395
10010981,395
10097513,395
10039074,395
10144127,395
10092196,394
1014020,394
1004599,393
10141349,393
10072464,393
1009841,392
10007676,392
10006026,392
10073196,392
10083173,392
10045771,391
10061228,391
10052756,391
10093203,390
10105543,390
10141738,390
10024421,390
10093113,390
10073826,390
10003759,390
10115866,389
10080529,389
10132681,389
10071145,388
10060395,388
10090023,388
10073005,388
10022710,388
10126194,387
10123024,387
10060855,386
10049409,386
10057434,385
10148301,385
100426,385
10098396,385
10052214,384
10138056,384
10127473,384
10109006,383
10121581,383
10143901,383
10143578,382
10071287,382
10039254,382
10117561,382
10011202,382
1001042,382
10064740,381
10017551,381
10096286,381
10067100,380
10130262,380
10017873,380
10129400,380
10129497,379
10063395,379
10139443,379
10032982,378
10108299,378
10118288,378
1012724,378
10026410,377
10122732,377
10034006,376
10007995,376
10096588,376
10114123,376
10073294,376
10036673,376
10128085,375
10048700,375
1006414,375
10023562,374
10041850,374
10081512,374
10038145,374
10109252,373
10122210,373
10087933,373
10144320,373
10099363,373
10079101,372
10060463,372
10048315,372
10106062,372
1012398,371
10022246,371
10061264,370
10091782,370
10013834,370
1012717,369
10114685,368
10081277,368
10102584,368
10093509,368
10050933,368
10143111,368
10131121,367
10038664,367
10069445,367
10037043,367
10055533,367
10099981,366
1000220,366
10037461,366
10051392,366
10076851,366
10088693,366
10054194,366
10062021,366
10141910,365
10043665,365
10006736,364
10039469,364
10044690,364
10090575,363
1005790,363
10010741,363
10059584,362
10064224,362
10111330,362
10132103,362
10107175,361
10085361,361
10067478,361
10087931,361
10107686,360
10132999,360
10110931,360
10008545,360
10147524,359
100553,359
10012735,359
10131532,359
10005260,359
10001122,358
10116013,358
10115369,356
10088695,356
1003918,356
1006195,355
10072126,355
10099485,355
1012932,355
10030817,354
10107770,353
10018829,353
1009090,353
10056383,353
10120070,353
10105983,352
10103224,352
1002556,352
10085470,351
10055135,351
10027801,350
10056162,350
10125947,350
10144546,350
10122030,350
10039005,350
10112271,350
10053866,350
10142873,350
10043224,350
10068225,349
10121638,349
1004425,349
10119975,348
1000188,347
10058009,347
10131918,347
10017714,347
10074233,345
10000227,345
101217,345
10093846,345
10059283,345
10104509,344
10112733,344
10037375,344
10131763,344
1013960,344
10031070,344
10102402,344
10079254,343
10104476,343
10037890,343
10105215,343
10074947,343
10047478,343
10101857,342
10035977,342
10007934,342
10127168,342
10145133,341
10070830,341
10147763,341
10040872,341
10001432,341
10136366,341
10137350,341
10084475,340
10140957,339
10141377,339
10118814,339
10143074,339
10061211,339
10008832,339
10087327,338
10113887,338
10129147,338
10025368,338
10064555,338
10058524,338
10075778,338
10080441,337
1009714,337
10099216,337
10035440,337
10054712,337
10108285,337
10019209,336
10046889,336
10137086,334
101349,334
10081586,333
10040018,333
1005386,333
10014721,332
10101995,332
10136115,332
1003543,332
1014585,332
10134155,331
1000743,331
10098483,331
10093835,331
10032081,331
10014315,330
10081545,330
10104314,330
10025433,330
10053144,330
10045443,330
10086474,329
10063898,328
1011149,328
10056845,328
10047734,328
10120023,328
10061320,327
1007480,327
10086847,327
10078000,327
1006454,327
1000488,327
1003075,327
10020943,326
1002120,326
10103987,326
10077957,326
10132040,326
1005911,326
10004368,325
10013663,325
10011220,324
10055982,324
10135685,324
10022090,323
10021742,323
10063809,323
10052735,323
10141882,323
1010342,322
10082729,321
10062924,321
10061181,321
10028743,321
10060268,321
10044847,321
10130673,321
10006522,321
10096362,320
10059314,320
10044479,320
10065301,319
10044631,319
10041140,319
10070682,319
10054251,318
10068910,318
10134195,318
10032409,318
10099427,318
10074042,317
10077425,317
10091352,316
10105609,316
10067985,316
10066995,316
10048152,315
10125133,315
10012140,315
10148622,314
10140729,314
10135731,314
10026897,314
10017145,313
10147612,313
10117220,313
10056509,313
10024112,313
10095398,313
10117706,312
10139103,312
10114608,312
10012256,312
10120203,311
10117560,311
10078323,311
10148094,311
10075446,310
1000728,310
10139592,310
10110646,310
10067717,310
10092079,309
10125007,309
1012620,309
10127843,308
10000528,308
10016498,308
10017998,308
1007905,307
